ID,Schadensklasse,Mittelwert_x,Mittelwert_y,Mittelwert_z,Variance_x,Variance_y,Variance_z,Effektivwert_x,Effektivwert_y,Effektivwert_z,Standardabweichung_x,Standardabweichung_y,Standardabweichung_z,Woehlbung_x,Woehlbung_y,Woehlbung_z,Schiefe_x,Schiefe_y,Schiefe_z,Mittlere_Absolute_Abweichung_x,Mittlere_Absolute_Abweichung_y,Mittlere_Absolute_Abweichung_z,Zentrales_Moment_x,Zentrales_Moment_y,Zentrales_Moment_z,Median_x,Median_y,Median_z,Timestamp
60,1,603.904,-389.12,15803.1,6713020.0,163322000.0,30424500,2659.14,12779.3,16737.2,2589.65,12773.3,5513.08,0.109486,-1.26245,-0.0245922,0.0487687,0.00431627,-0.111785,2054.36,11190.5,4393.59,0,0,0,768,-512,15616,1604490000
61,0,581.888,-192.0,15746.3,5187670.0,126236000.0,27010500,2349.7,11231.5,16581.0,2276.51,11229.9,5194.57,-0.306288,-0.963773,-0.282158,-0.00819184,-0.0271173,-0.004691,1851.51,9471.1,4204.84,0,0,0,512,256,15616,1604490000
62,1,513.792,-188.928,15657.7,5534870.0,126921000.0,28056100,2406.93,11261.9,16528.5,2351.45,11260.3,5294.15,0.299507,-0.908305,0.190687,0.0745327,-0.0896114,-0.0940748,1844.59,9466.21,4154.95,0,0,0,512,0,15616,1604490000
63,0,580.864,-502.272,15834.1,4911500.0,128713000.0,23527000,2289.98,11350.6,16559.7,2215.08,11339.5,4848.04,0.135119,-0.91893,0.345116,0.0377216,0.0452546,-0.255032,1762.64,9453.54,3858.74,0,0,0,512,-768,15872,1604490000
64,1,610.816,-350.976,15661.1,5543930.0,144055000.0,27110100,2431.35,12001.4,16503.1,2353.38,11996.3,5204.13,-0.276058,-1.18754,-0.194714,0.096845,0.0223112,-0.128483,1900.67,10431.5,4150.24,0,0,0,512,-512,15616,1604490000
65,1,528.128,-378.368,15717.9,4953380.0,145517000.0,25721200,2286.34,12063.0,16515.1,2224.51,12057.0,5069.07,-0.12598,-1.15953,-0.22852,-0.0230722,0.000602588,0.0283449,1790.7,10423.7,4071.02,0,0,0,512,0,15872,1604490000
66,1,528.384,-298.24,15778.6,10279000.0,152250000.0,28348000,3247.75,12336.4,16651.8,3204.48,12332.8,5321.62,-0.325861,-1.22611,-0.075353,0.0152639,-0.00392052,-0.0981362,2585.15,10697.9,4290.21,0,0,0,384,-256,15616,1604490000
67,1,623.872,-96.768,15867.1,4603920.0,150305000.0,27668700,2233.5,12254.1,16715.5,2144.6,12253.7,5257.47,0.471679,-1.23419,-0.33491,0.127798,-0.0270208,-0.114167,1692.45,10618.4,4258.69,0,0,0,512,0,15872,1604490000
68,1,662.272,-444.416,15758.6,9414120.0,150569000.0,22580300,3137.41,12272.6,16458.8,3066.71,12264.5,4749.49,-0.27431,-1.30057,0.458663,-0.162583,0.0420864,-0.102435,2475.19,10813.0,3735.58,0,0,0,768,-512,15616,1604490000
69,1,635.136,217.856,15642.1,7827560.0,157834000.0,24560200,2867.6,12558.8,16407.7,2796.38,12556.9,4953.34,-0.119521,-1.30673,-0.277626,0.0723213,-0.0664685,0.0441996,2218.45,11038.9,3989.96,0,0,0,512,640,15872,1604490000
